message_id,response_id,article_id,empathy,distress,empathy_bin,distress_bin,essay,emotion,gender,education,race,age,income,personality_conscientiousness,personality_openess,personality_extraversion,personality_agreeableness,personality_stability,iri_perspective_taking,iri_personal_distress,iri_fantasy,iri_empathatic_concern,gold_empathy,gold_distress,gold_emotion,gold_empathy_bin,gold_distress_bin,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,help,office,dance,money,wedding,domestic_work,sleep,medical_emergency,cold,hate,cheerfulness,aggression,occupation,envy,anticipation,family,vacation,crime,attractive,masculine,prison,health,pride,dispute,nervousness,government,weakness,horror,swearing_terms,leisure,suffering,royalty,wealthy,tourism,furniture,school,magic,beach,journalism,morning,banking,social_media,exercise,night,kill,blue_collar_job,art,ridicule,play,computer,college,optimism,stealing,real_estate,home,divine,sexual,fear,irritability,superhero,business,driving,pet,childish,cooking,exasperation,religion,hipster,internet,surprise,reading,worship,leader,independence,movement,body,noise,eating,medieval,zest,confusion,water,sports,death,healing,legend,heroic,celebration,restaurant,violence,programming,dominant_heirarchical,military,neglect,swimming,exotic,love,hiking,communication,hearing,order,sympathy,hygiene,weather,anonymity,trust,ancient,deception,fabric,air_travel,fight,dominant_personality,music,vehicle,politeness,toy,farming,meeting,war,speaking,listen,urban,shopping,disgust,fire,tool,phone,gain,sound,injury,sailing,rage,science,work,appearance,valuable,warmth,youth,sadness,fun,emotional,joy,affection,traveling,fashion,ugliness,lust,shame,torment,economics,anger,politics,ship,clothing,car,strength,technology,breaking,shape_and_size,power,white_collar_job,animal,party,terrorism,smell,disappointment,poor,plant,pain,beauty,timidity,philosophy,negotiate,negative_emotion,cleaning,messaging,competing,law,friends,payment,achievement,alcohol,liquid,feminine,weapon,children,monster,ocean,giving,contentment,writing,rural,positive_emotion,musical
R_1hGrPtWM4SumG0U_1,R_1hGrPtWM4SumG0U,67,5.667,4.375,1,1,it is really disheartening to read about these immigrants from this article who drowned . it makes me feel anxious and upset how the whole ordeal happened . it is a terrible occurrence that this had to happen at the mediterranean sea . thankfully there were some survivors . the fact that babies were lost makes it that much more emotional to read all of this,sadness,1,4,1,33,50000,6,5,5,5.5,5.5,3.571,2,3.429,4,5.667,4.375,sadness,1,1,62,49.95,50,1,1,12.4,19.35,90.32,53.23,20.97,1.61,1.61,0,0,0,0,19.35,6.45,11.29,8.06,6.45,3.23,0,20.97,8.06,1.61,3.23,0,8.06,11.29,1.61,9.68,3.23,0,3.23,3.23,1.61,0,0,0,12.9,1.61,4.84,0,1.61,3.23,1.61,1.61,0,0,1.61,0,0,0,0,0,3.23,0,3.23,0,0,0,8.06,9.68,0,1.61,0,1.61,0,3.23,0,0,0,0,1.61,0,0,0,0,0,0,6.45,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601456816,2.601456816,0,0,0,0,2.601456816,0,0,0,0,0,0,0,0,2.601456816,5.202913632,0,0,0,0,0,5.202913632,0,0,0,0,0,0,2.601456816,2.601456816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601456816,0,5.202913632,0,0,0,0,2.601456816,0,0,0,0,0,2.601456816,0,0,0,0,0,0,0,2.601456816,0,0,0,0,2.601456816,0,2.601456816,0,7.804370447,0,0,0,0,0,0,2.601456816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601456816,0,5.202913632,0,0,0,0,0,0,2.601456816,0,0,0,0,2.601456816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601456816,0,2.601456816,0,0,7.804370447,0,0,0,0,0,0,0,0,0,0,0,0,0,2.601456816,0,2.601456816,7.804370447,0,0,0
R_1hGrPtWM4SumG0U_2,R_1hGrPtWM4SumG0U,86,4.833,4.875,1,1,the phone lines from the suicide prevention line surged after the election . it also climbed when robin williams committed suicide . thankfully there is this prevention line to help those in need who have suicidal thoughts but we need to condition people that committing suicide is a permanent solution to a temporary problem,sadness,1,4,1,33,50000,6,5,5,5.5,5.5,3.571,2,3.429,4,4.833,4.875,sadness,1,1,52,82.82,83.19,5.76,25.77,17.33,34.62,84.62,46.15,11.54,1.92,0,1.92,0,0,0,9.62,9.62,11.54,5.77,5.77,5.77,0,9.62,3.85,1.92,3.85,0,0,3.85,1.92,1.92,0,0,0,9.62,0,0,0,0,17.31,3.85,1.92,5.77,1.92,3.85,1.92,1.92,0,1.92,0,0,0,0,0,0,13.46,3.85,3.85,1.92,0,5.77,0,9.62,0,11.54,1.92,1.92,7.69,0,0,0,0,0,7.69,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0,3.846153846,0,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923076923,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923076923,3.846153846,0,0,0,0,0,0,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923076923,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,3.846153846,0,0,0,0,0
R_1hGrPtWM4SumG0U_3,R_1hGrPtWM4SumG0U,206,5.333,3.5,1,0," no matter what your heritage , you should be able to serve your country . her thai heritage should not preclude her and should not have been an issue in this debate . tammy duckworth and her family should be congratulated on the services they have provided to this country . any type of racism should not be allowed in a debate",neutral,1,4,1,33,50000,6,5,5,5.5,5.5,3.571,2,3.429,4,5.333,3.5,neutral,1,0,58,23.57,84.96,1,25.77,14.5,17.24,79.31,62.07,17.24,12.07,0,0,5.17,5.17,1.72,5.17,5.17,10.34,18.97,0,3.45,6.9,18.97,0,0,1.72,0,1.72,0,0,0,0,0,0,17.24,1.72,0,5.17,0,17.24,0,1.72,8.62,1.72,0,5.17,0,0,0,0,0,0,0,0,0,5.17,1.72,1.72,1.72,0,0,3.45,8.62,0,8.62,0,8.62,0,1.72,1.72,1.72,0,0,0,0,0,0,0,0,0,6.9,5.17,1.72,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,1.785714286,3.571428571,0,0,0,1.785714286,0,0,0,0,0,1.785714286,0,0,0,0,0,0,0,5.357142857,0,0,0,0,0,1.785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,1.785714286,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,0,0,0,0,0,1.785714286,1.785714286,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,0,0,1.785714286,3.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,0,0,0,0,0,1.785714286,0,0,0,0,0,0,1.785714286,0
R_1hGrPtWM4SumG0U_4,R_1hGrPtWM4SumG0U,290,4.167,5.25,1,1,it is frightening to learn about all these shark attacks but these surfers should be aware of the risks associated with the sport . relocating the sharks should be a priority and it would be in the best interest to establish a moratorium on water sports until the shark epidemic is dealt with . closing beach in australia is a good precautionary method,fear,1,4,1,33,50000,6,5,5,5.5,5.5,3.571,2,3.429,4,4.167,5.25,fear,1,1,61,94.65,43.48,1.71,25.77,20.33,21.31,80.33,54.1,6.56,0,0,0,0,0,0,6.56,13.11,16.39,14.75,1.64,4.92,0,16.39,1.64,1.64,0,0,1.64,9.84,4.92,4.92,3.28,1.64,0,0,0,0,0,0,11.48,3.28,0,4.92,0,1.64,1.64,0,0,0,0,3.28,0,1.64,0,1.64,6.56,0,1.64,3.28,3.28,1.64,0,11.48,0,8.2,1.64,4.92,1.64,3.28,4.92,0,0,0,1.64,0,0,0,0,0,0,3.28,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639344262,1.639344262,0,0,0,0,1.639344262,0,0,0,0,0,1.639344262,0,1.639344262,0,0,0,0,0,1.639344262,0,6.557377049,0,0,0,0,1.639344262,0,0,0,1.639344262,0,1.639344262,0,1.639344262,0,0,0,0,0,0,1.639344262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.278688525,1.639344262,0,0,0,0,0,0,0,0,0,0,0,8.196721311,0,1.639344262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639344262,0,0,0,1.639344262,0,0,0,0,0,0,0,0,0,0,3.278688525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639344262,0,0,0,0,0,3.278688525,0,0,0,0,0,0,0,0,3.278688525,0,0,0,0,0,0,0,0,0,0,1.639344262,0,1.639344262,0,0,1.639344262,1.639344262,0,0,0,1.639344262,0,0,0,0,3.278688525,0,0,0,0,0,0
R_1hGrPtWM4SumG0U_5,R_1hGrPtWM4SumG0U,342,5.333,4.625,1,1," the eldest generation of russians are not being treated properly and should have some sort of financial compensation . they are living off very little per day financially and live in poor conditions . after paying utilities , they barely have enough for food . health care has also taken a turn for the worse because they cannot afford to get proper health treatment due to the costs involved",sadness,1,4,1,33,50000,6,5,5,5.5,5.5,3.571,2,3.429,4,5.333,4.625,sadness,1,1,65,76.64,50,11.67,7.8,16.25,18.46,83.08,47.69,4.62,4.62,0,0,0,0,4.62,0,6.15,13.85,12.31,4.62,6.15,3.08,21.54,4.62,3.08,0,0,1.54,4.62,1.54,3.08,0,0,0,6.15,0,0,0,0,10.77,0,1.54,1.54,4.62,0,3.08,0,0,0,0,7.69,0,6.15,0,1.54,6.15,0,0,1.54,3.08,1.54,1.54,16.92,0,12.31,1.54,4.62,6.15,4.62,0,0,9.23,0,0,0,0,0,0,0,0,6.15,4.62,1.54,0,0,0,0,0,0,0,0,0,1.5625,0,0,4.6875,0,0,0,4.6875,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,1.5625,0,0,0,0,1.5625,0,1.5625,0,0,0,0,0,0,0,7.8125,0,0,0,0,0,0,0,0,0,0,0,1.5625,1.5625,3.125,0,0,0,0,0,3.125,0,0,1.5625,1.5625,0,0,0,0,0,0,0,0,1.5625,1.5625,0,0,1.5625,0,0,0,0,0,0,3.125,0,0,0,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,1.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,1.5625,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6875,0,0,0,0,0,0,0,1.5625,1.5625,0,0,0,0,0,0,0,6.25,0,0,0,0,0,3.125,3.125,0,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,1.5625,0,0,1.5625,1.5625,0
R_1jl9vLqdDRf4Epg_1,R_1jl9vLqdDRf4Epg,2,2.333,3.125,0,0," middle east is fucked up , I have honestly never heard of a middle east country such as Afghanistan deporting people , the mention of it just sound funny , who the heck would want to stay in that shit hole country that has been infested with terrorists and child rapists ? Perhaps those refugees are out of choice , honestly they should come to a better country such as you . S . or you . K , even though those 2 countries have their own policies regarding immigration , but I think they are quite tolerate to people from war torn countries",anger,1,6,5,24,45000,4.5,3,4.5,4.5,4.5,2.429,2.857,2.714,2.429,2.333,3.125,anger,0,0,94,55.11,66.48,51.84,11.87,18.8,20.21,89.36,53.19,13.83,7.45,2.13,0,2.13,0,3.19,6.38,4.26,14.89,9.57,7.45,6.38,1.06,15.96,6.38,5.32,1.06,1.06,0,9.57,4.26,5.32,1.06,4.26,0,11.7,0,0,0,0,11.7,2.13,0,3.19,3.19,1.06,3.19,2.13,0,2.13,0,3.19,1.06,0,2.13,0,6.38,0,1.06,5.32,1.06,0,3.19,10.64,0,17.02,2.13,14.89,1.06,1.06,0,0,0,0,1.06,4.26,3.19,1.06,1.06,0,0,10.64,3.19,6.38,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,1.098901099,0,0,0,0,0,0,0,0,1.098901099,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,1.098901099,1.098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,2.197802198,0,0,0,0,0,2.197802198,0,0,1.098901099,0,1.098901099,1.098901099,1.098901099,0,0,1.098901099,0,0,1.098901099,2.197802198,2.197802198,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098901099,0,0,0,0,0,0,3.296703297,0
R_1jl9vLqdDRf4Epg_2,R_1jl9vLqdDRf4Epg,117,2.167,2.875,0,0," well first of all whoever wrote this article does not know how to properly divide an article into paragraphs , which made reading this article extremely painful , but nonetheless I do know after reading the article that Zira virus tend to stay in semen and vaginal fluid for extended amount of time , so it is obvious do not mate with people who have zira virus , and do not even think about having a baby , they are going to be defective",anger,1,6,5,24,45000,4.5,3,4.5,4.5,4.5,2.429,2.857,2.714,2.429,2.167,2.875,anger,0,0,79,41.25,39.99,36.87,9.98,79,20.25,82.28,55.7,11.39,2.53,1.27,0,0,0,1.27,8.86,3.8,13.92,11.39,8.86,6.33,3.8,24.05,1.27,1.27,5.06,1.27,2.53,3.8,1.27,2.53,0,0,0,7.59,1.27,1.27,0,0,15.19,3.8,2.53,0,0,3.8,5.06,1.27,0,0,1.27,2.53,1.27,1.27,1.27,0,2.53,1.27,1.27,0,0,0,2.53,16.46,1.27,8.86,2.53,3.8,3.8,1.27,0,0,0,0,0,1.27,0,0,0,1.27,0,6.33,0,6.33,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351351351,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,5.405405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,0,5.405405405,0,2.702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,0,1.351351351,2.702702703,0,0,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.351351351,0,1.351351351,0,0,0,0,0,1.351351351,0,1.351351351,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,0,0,0,2.702702703,0,0,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,0,0,0,0,0,0,1.351351351,0,0,0,1.351351351,0,0,1.351351351,0,0,0,0,9.459459459,0,0,0
R_1jl9vLqdDRf4Epg_3,R_1jl9vLqdDRf4Epg,189,3.833,4.25,0,1," well well well , look at what we have well , the arrogant Kim Karmathian finally got what she deserves : being robbed for millions , the thought of it is bitter , considering it is a robbery after all , but think the other way , a rich superfluous gal as Kim , broadcasting her belongings on social media , I guess she brought this upon herself",disgust,1,6,5,24,45000,4.5,3,4.5,4.5,4.5,2.429,2.857,2.714,2.429,3.833,4.25,disgust,0,1,59,56.55,80.15,16.91,97.07,59,22.03,84.75,57.63,20.34,10.17,1.69,1.69,0,6.78,0,10.17,8.47,11.86,6.78,8.47,3.39,0,18.64,6.78,3.39,3.39,1.69,1.69,11.86,8.47,3.39,0,1.69,0,11.86,0,0,8.47,0,11.86,5.08,0,0,1.69,1.69,3.39,3.39,1.69,0,0,0,0,0,0,0,8.47,5.08,0,1.69,1.69,0,3.39,10.17,0,11.86,1.69,6.78,3.39,0,0,0,1.69,0,0,6.78,0,0,0,6.78,0,15.25,0,13.56,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_1jl9vLqdDRf4Epg_4,R_1jl9vLqdDRf4Epg,330,3.167,3.375,0,0," just another fucked up mental sickness of american police against its black residents , I honestly have no idea why they have to be so sensitive with their fucking guns , they shoot people as if people can respan after being shot or something , police should think twice before taking out people's lives with no legitimate reason , I guess it is good that police have body cam , so the public can see what shame they are brining upon themselves",anger,1,6,5,24,45000,4.5,3,4.5,4.5,4.5,2.429,2.857,2.714,2.429,3.167,3.375,anger,0,0,77,29.3,50,13.15,9.71,77,16.88,89.61,55.84,16.88,9.09,2.6,0,0,0,6.49,7.79,1.3,14.29,12.99,5.19,6.49,2.6,18.18,7.79,3.9,2.6,1.3,1.3,6.49,2.6,3.9,1.3,2.6,0,11.69,0,0,0,0,12.99,3.9,2.6,2.6,5.19,0,3.9,2.6,2.6,0,0,6.49,1.3,2.6,2.6,0,9.09,0,0,6.49,2.6,0,1.3,15.58,0,6.49,0,3.9,2.6,3.9,0,1.3,0,0,0,2.6,2.6,0,0,0,0,7.79,0,6.49,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,2.631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,0,1.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,0,0,0,1.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,0,0,0,0,0,1.315789474,0,0,1.315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,0,0,0,0,2.631578947,0,0,0,1.315789474,0,0,0,1.315789474,0,0,2.631578947,0,0,0,0,0,0,0,2.631578947,0
R_1jl9vLqdDRf4Epg_5,R_1jl9vLqdDRf4Epg,368,2.5,3.125,0,0," it seems a horny male college student has finally taken up the courage not to pursue love , but to rape his potential lover , what a disgusting act and moral corruption , the amount of emotional trauma done to the female victim is permanent and she would never feel safe again , I hope he gets to sentence to jail long enough he thought through",disgust,1,6,5,24,45000,4.5,3,4.5,4.5,4.5,2.429,2.857,2.714,2.429,2.5,3.125,disgust,0,0,62,78.98,68.57,2.96,25.77,62,19.35,90.32,50,11.29,8.06,1.61,0,0,6.45,0,3.23,8.06,12.9,6.45,4.84,4.84,3.23,16.13,8.06,0,1.61,0,1.61,16.13,8.06,8.06,0,1.61,0,12.9,0,1.61,3.23,6.45,14.52,4.84,0,3.23,4.84,1.61,3.23,1.61,0,0,1.61,6.45,1.61,0,4.84,0,14.52,3.23,1.61,4.84,3.23,1.61,3.23,9.68,3.23,9.68,0,3.23,6.45,3.23,0,0,0,1.61,0,0,0,0,0,0,0,6.45,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.612903226,1.612903226,1.612903226,0,0,0,0,0,0,0,4.838709677,0,1.612903226,1.612903226,1.612903226,0,0,1.612903226,0,0,0,0,0,3.225806452,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,1.612903226,0,0,0,0,0,4.838709677,3.225806452,3.225806452,0,0,0,4.838709677,0,0,0,0,0,0,0,0,0,1.612903226,0,0,0,0,1.612903226,0,0,0,1.612903226,0,0,0,0,0,0,0,1.612903226,0,0,0,0,0,4.838709677,0,0,0,0,0,0,4.838709677,0,0,0,0,0,0,0,0,1.612903226,0,1.612903226,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,3.225806452,0,1.612903226,0,0,0,0,0,1.612903226,0,0,1.612903226,0,1.612903226,0,1.612903226,0,0,1.612903226,0,1.612903226,1.612903226,0,0,1.612903226,0,0,0,1.612903226,0,0,0,0,0,0,0,0,1.612903226,0,0,0,1.612903226,0,0,1.612903226,0,0,0,0,0,1.612903226,1.612903226,0,0,0,0,0,0,0,0,0,0,1.612903226,0,0,3.225806452,0
