,0
0,Perhaps
1,U.S.
2,"U.K,"
3,Kim
4,Kardashian
5,"Kim,"
6,The
7,Dakota's
8,Even
9,No
10,Just
11,Hearing
12,Our
13,This
14,Hilary
15,Clinton
16,Donald
17,Trump.
18,Many
19,Donald
20,So
21,Many
22,Hilary
23,Bengazi
24,"Trump,"
25,Children
26,No
27,There
28,This
29,BUT
30,FOUR
31,YEAR
32,OLD
33,GIRL.
34,What
35,So
36,There's
37,Nature
38,We've
39,Michigan.
40,There
41,She
42,You
43,Measure
44,But
45,Mexican
46,Trump
47,The
48,We
49,We
50,This
51,The
52,Yemen
53,Yemen
54,Somebody
55,Donald
56,Trump
57,Families
58,Donald
59,Trump
60,"We,"
61,Dioxide
62,This
63,Now
64,Now
65,Felt
66,The
67,Without
68,They
69,This
70,There
71,Farmers
72,They
73,Climate
74,Something
75,The
76,Too
77,CEO's
78,The
79,This
80,This
81,Here's
82,Life
83,Having
84,Some
85,Everyone
86,Just
87,Every
88,US
89,You
90,There's
91,Perhaps
92,Reading
93,There
94,The
95,"Hello,"
96,US
97,US
98,There
99,The
100,Their
101,How
102,Sometimes
103,Democrats
104,Trump
105,White
106,House
107,What
108,We
109,Reading
110,US
111,US.
112,We
113,How
114,Wells
115,Fargo?
116,You
117,What
118,SS
119,"Oh,"
120,We
121,Holy
122,Change
123,That's
124,LGBT
125,Royal
126,You
127,"Here,"
128,That's
129,This
130,Or
131,You
132,Somali
133,Minneapolis.
134,Donald
135,Trump's
136,Hollywood
137,"Wow,"
138,You
139,Good
140,"Lol,"
141,Who
142,What
143,"So,"
144,Kylie
145,"Jenner,"
146,She
147,Typhoon
148,Meranti.
149,The
150,Typhone
151,"Morakot,"
152,Cetin
153,"Harbor,"
154,Evidently
155,That
156,The
157,Some
158,Malaysia
159,Maybe
160,On
161,Christian
162,Muslim
163,Syria
164,He
165,This
166,"Jordan,"
167,Jordanian
168,"Westerners,"
169,Christians
170,US
171,The
172,The
173,One
174,He
175,The
176,Even
177,Why
178,Most
179,Funny
180,People
181,Too
182,But
183,This
184,Their
185,Let
186,Europe
187,This
188,The
189,Poles
190,Russia-
191,Russia
192,World
193,The
194,Polish
195,Russian
196,Poles.
197,What
198,The
199,Look
200,Corporate
201,They
202,When
203,This
204,There
205,The
206,Especially
207,This
208,Between
209,Did
210,They
211,This
212,The
213,There
214,They
215,Poor
216,So
217,This
218,Or
219,Perhaps
220,So
221,Wow.
222,Some
223,They
224,This
225,They
226,They
227,So
228,"Today,"
229,This
230,Today
231,November
232,Junior
233,"Thankfully,"
234,The
235,The
236,Sure
237,This
238,You'd
239,Yemen
240,Overall
241,Simply
242,There
243,Not
244,Maybe
245,Reading
246,To
247,Snake
248,The
249,No
250,There's
251,This
252,You're
253,Maybe
254,From
255,Us
256,What
257,This
258,The
259,Muslims
260,The
261,Our
262,When
263,Muslims
264,This
265,Boko
266,Haram
267,The
268,These
269,This
270,To
271,Russia
272,Syria
273,Syria
274,Russia
275,Trump
276,Putin
277,What
278,Syria
279,Russia
280,Us
281,The
282,The
283,We
284,We
285,Please
286,The
287,"Wow,"
288,Why
289,Busch
290,Poor
291,The
292,Soooo
293,These
294,God
295,Oh
296,Very
297,Poor
298,This
299,Read
300,Georgia
301,That
302,Muslim
303,Military
304,Many
305,Muslim
306,There
307,Venezuela
308,Due
309,They
310,Their
311,There
312,My
313,They
314,Trump
315,While
316,Trump
317,"President,"
318,Clinton.
319,"So,"
320,Obama
321,"President,"
322,Presidency
323,ObamaCare?
324,That
325,"So,"
326,Moore
327,While
328,They
329,There
330,"Unfortunately,"
331,This
332,"So,"
333,There
334,No
335,Please
336,This
337,Does
338,England
339,This
340,That
341,Ugh
342,New
343,Delhi?
344,The
345,They
346,Middle
347,There's
348,Please
349,Wow.
350,So...
351,"But,"
352,Ok.
353,Have
354,Many
355,That's
356,Have
357,People
358,What
359,Did
360,What's
361,"Hey,"
362,People
363,"But,"
364,HEN
365,"So,"
366,Yo.
367,Trump's
368,Oh
369,"So,"
370,Hi
371,We
372,You
373,Brazil.
374,We
375,We
376,Hey
377,We
378,Yemeni
379,They
380,Now
381,First
382,Please
383,Just
384,We
385,We
386,They
387,They
388,These
389,The
390,Their
391,Polar
392,They
393,There's
394,So
395,Think
396,The
397,Remember
398,Maybe
399,Here
400,Remember
401,PTSD?
402,Pretty
403,Hey
404,Trump
405,The
406,There
407,They
408,Dude
409,May
410,Wow
411,Then
412,They
413,Donald
414,Trumps
415,First
416,This
417,This
418,This
419,Something
420,There
421,For
422,This
423,There
424,What
425,This
426,This
427,Many
428,They
429,This
430,This
431,These
432,YOu
433,So
434,These
435,These
436,Natural
437,They
438,Some
439,Too
440,Humans
441,This
442,They
443,There
444,The
445,My
446,Guerrilla
447,While
448,Russia
449,US
450,POTUS
451,Trump
452,Suspicions
453,THIS
454,GO
455,We
456,We
457,The
458,Great
459,Reef
460,Sometimes
461,We
462,Check
463,YET
464,BP
465,Their
466,BS
467,How
468,You'd
469,You'd
470,CHANCE
471,People
472,How
473,The
474,Being
475,There's
476,Hi
477,There's
478,NBA
479,Hey
480,Plus
481,Definitely
482,Ugh
483,Edinburgh.
484,The
485,Plus
486,Where
487,Man
488,This
489,Even
490,PTSD
491,PTSD.
492,Timeshare
493,This
494,But
495,Rwanda
496,Things
497,This
498,The
499,RHONY
500,"So,"
501,He
502,Did
503,This
504,People
505,The
506,They
507,Lots
508,KKK
509,Not
510,Trump
511,Since
512,KKK
513,This
514,Media
515,Getting
516,"But,"
517,"So,"
518,They
519,This
520,Life
521,She
522,Seems
523,This
524,These
525,"But,"
526,Not
527,Seems
528,This
529,The
530,Think
531,JUST
532,What
533,Open
534,Obviously
535,But
536,Will
537,Probably
538,Open
539,Bring
540,When
541,Chicago.
542,We
543,Lead
544,To
545,This
546,We
547,Consider
548,This
549,"Trump,"
550,Hillary
551,Without
552,What
553,We
554,You
555,These
556,They
557,Hug
558,These
559,"So,"
560,Who
561,Who
562,There
563,There
564,What
565,Nyok
566,He
567,Courier-Mail
568,Mr
569,Nyok
570,Brisbane
571,Lord
572,Mayor
573,Graham
574,Quirk
575,Flags
576,Kashmir:
577,The
578,Photographer
579,Bhat
580,"Mushtaq,"
581,Kashmir.
582,Miss
583,Mushtaq
584,She
585,Nothing
586,Ms
587,Mushtaq
588,She
589,Tensing
590,"Tensing,"
591,Prosecutors
592,Tensing’s
593,Judge
594,Megan
595,Shanahan
596,Nov.
597,County
598,Joe
599,Deters
600,"Gerhardstein,"
601,DuBose
602,Megyn
603,Kelly
604,Trump.
605,Gingrich
606,Kelly
607,Gingrich
608,Bill
609,Clinton’s
610,Clinton
611,Clinton
612,"House,"
613,Senate.
614,"Voters,"
615,Republicans
616,The
617,GOP
618,House
619,Gingrich’s
620,The
621,Pizza
622,Grandview
623,Dave
624,"Neale,"
625,Welfare
626,Director
627,Yorkshire
628,Wildlife
629,From
630,China’s
631,The
632,For
633,For
634,The
635,Renewable
636,For
637,There
638,United
639,"States,"
640,"Russia,"
641,Syria
642,The
643,United
644,States
645,There
646,Russia
647,Syria
648,There
649,These
650,These
651,Details
652,Gilbert
653,Wilson
654,People
655,Results
656,Erving
657,"Goffman,"
658,Like
659,Goffman
660,Gut
661,Feelings
662,Since
663,Emotion
664,Feelings
665,Class
666,Middle-class
667,Middle-class
668,Middle-class
669,This
670,Whether
671,The
672,Red
673,Cross
674,They
675,South
676,They
677,There
678,"GoFundMe,"
679,The
680,Efforts
681,They
682,"Usually,"
683,Why
684,There
685,Would
686,Every
687,Do
688,This
689,What
690,Those
691,What
692,WRONG
693,They
694,So
695,Kesha
696,She
697,She
698,Sometimes
699,Obama
700,Trump
701,"Obviously,"
702,Trump's
703,"Charleston,"
704,"S.C.,"
705,Confederate
706,But
707,Old
708,South
709,During
710,President-elect
711,Donald
712,J.
713,Trump’s
714,June
715,Trump
716,Confederate
717,South
718,Victim
719,She
720,Sleep
721,"However,"
722,CDC-backed
723,February
724,Many
725,CDC
726,"Well,"
727,Get
728,The
729,Ms
730,Snapchat
731,Thursday
732,"Hey,"
733,Those
734,You
735,These
736,There
737,"Sometimes,"
738,Hopefully
739,Won't
740,This
741,They
742,There
743,They
744,BLM
745,"Clearly,"
746,That
747,The
748,She
749,LMFAO.
750,That
751,"Sure,"
752,"Oh,"
753,There
754,Forget
755,These
756,This
757,Wells
758,Fargo's
759,People
760,Philadelphia
761,Now
762,Behind
763,Wells
764,Fargo
765,"Philadelphia,"
766,Facing
767,Wells
768,Fargo
769,The
770,Countless
771,Of
772,Hate
773,Have
774,Been
775,Out
776,Since
777,Trump’s
778,Win
779,Day
780,Donald
781,Trump’s
782,Day
783,Since
784,Election
785,"Day,"
786,"U.S.,"
787,Southern
788,Poverty
789,Center.
790,People
791,"Muslim,"
792,"Jewish,"
793,While
794,Trump
795,The
796,New
797,Global
798,Southern
799,Spain
800,Climate
801,France
802,"Spain,"
803,They
804,Middle
805,Mediterranean
806,Southern
807,"Spain,"
808,Known
809,The
810,Celsius
811,Fahrenheit
812,The
813,Doherty
814,Shares
815,Her
816,Story
817,With
818,Chelsea
819,Handler
820,"Emotional,"
821,Tear-Filled
822,Shannen
823,Doherty
824,Chelsea
825,Handler.
826,During
827,Handler’s
828,Netflix
829,"Chelsea,"
830,Beverly
831,"Hills,"
832,The
833,The
834,Trump
835,Donald
836,Trump
837,Sunday
838,President-elect.
839,Trump
840,CBS'
841,Lesley
842,Stahl
843,"Minutes"""
844,Muslims
845,Trump
846,Trump's
847,Democrats
848,He
849,Hello
850,Current
851,Biology
852,"Hello,"
853,Bodies
854,Project.
855,Birth
856,Without
857,Fear
858,"Facebook,"
859,"Hello,"
860,Donald
861,Trump
862,United
863,States.
864,The
865,South
866,"Philadelphia,"
867,"Hello,"
868,Nigerians
869,Boko
870,"Haram,"
871,The
872,Girl
873,This
874,They
875,Good
876,Global
877,While
878,Unfortunately
879,Even
880,This
881,This
882,That
883,But
884,This
885,No
886,We
887,We
888,Nino
889,The
890,Because
891,China
892,The
893,Our
894,The
895,Thanks
896,We
897,Some
898,People
899,People
900,This
901,My
902,Humans
903,Every
904,Positions
905,Whether
906,United
907,States
908,These
909,These
910,There
911,Human
912,Human
913,"Hey,"
914,People
915,"Dude,"
916,The
917,Halloween
918,They
919,That
920,They
921,The
922,They're
923,So
924,There
925,There
926,They
927,The
928,She
929,She
930,Philippines
931,He
932,He
933,He
934,US
935,European
936,There
937,But
938,Trump
939,They
940,They
941,This
942,There’s
943,Maybe
944,Shit
945,People
946,Maybe
947,Otherwise
948,This
949,North
950,Korea
951,The
952,This
953,March
954,Kim
955,Sung
956,The
957,They
958,Politicians
959,Fracking
960,Ultimately
961,Society
962,Dear
963,Hong
964,Kong.
965,This
966,Hong
967,Kong
968,He
969,Hong
970,Kong's
971,He
972,He
973,Dear
974,Mushtaq.
975,She
976,She
977,She
978,Dear
979,Wesley
980,"O'Dell,"
981,The
982,The
983,Now
984,O'Dell
985,Dear
986,Thomas
987,There
988,Dear
989,"Friend,"
990,Kim
991,Kardashian
992,She
993,We
994,Because
995,We
996,We
997,Everything
998,Greece
999,These
1000,The
1001,FBI's
1002,We
1003,Lincoln
1004,Terminal?
1005,That
1006,This
1007,Dogs
1008,Just
1009,We
1010,One's
1011,Dr.
1012,Jack
1013,"Drescher,"
1014,The
1015,Huffington
1016,Post.
1017,Drescher
